rol|permiso|accion|habilitado
admin|campo|editar|true
admin|campo|ver|true
admin|casilleros_texto|editar|true
admin|configurar|editar|true
admin|configurar|ver|true
admin|consistencias|editar|true
admin|encuestas|ingresar|true
admin|encuestas|justificar|true
admin|encuestas|procesar|true
auxiliar|campo|editar|false
auxiliar|campo|ver|false
auxiliar|casilleros_texto|editar|false
auxiliar|configurar|editar|false
auxiliar|configurar|ver|false
auxiliar|consistencias|editar|false
auxiliar|encuestas|ingresar|false
auxiliar|encuestas|justificar|false
auxiliar|encuestas|procesar|false
coor_campo|campo|administrar|true
coor_campo|campo|editar|true
coor_campo|campo|ver|true
coor_campo|casilleros_texto|editar|false
coor_campo|configurar|editar|true
coor_campo|configurar|ver|true
coor_campo|consistencias|editar|true
coor_campo|encuestas|ingresar|true
coor_campo|encuestas|justificar|true
coor_campo|encuestas|procesar|true
direccion|campo|editar|true
direccion|campo|ver|true
direccion|casilleros_texto|editar|false
direccion|configurar|editar|true
direccion|configurar|ver|true
direccion|consistencias|editar|true
direccion|encuestas|ingresar|true
direccion|encuestas|justificar|true
direccion|encuestas|procesar|true
dis_conceptual|campo|editar|false
dis_conceptual|campo|ver|true
dis_conceptual|casilleros_texto|editar|true
dis_conceptual|configurar|editar|false
dis_conceptual|configurar|ver|true
dis_conceptual|consistencias|editar|false
dis_conceptual|encuestas|ingresar|false
dis_conceptual|encuestas|justificar|false
dis_conceptual|encuestas|procesar|false
procesamiento|campo|editar|false
procesamiento|campo|ver|false
procesamiento|casilleros_texto|editar|false
procesamiento|configurar|editar|false
procesamiento|configurar|ver|false
procesamiento|consistencias|editar|true
procesamiento|encuestas|ingresar|true
procesamiento|encuestas|justificar|true
procesamiento|encuestas|procesar|true
recepcionista|campo|editar|true
recepcionista|campo|ver|true
recepcionista|casilleros_texto|editar|false
recepcionista|configurar|editar|true
recepcionista|configurar|ver|true
recepcionista|consistencias|editar|false
recepcionista|encuestas|ingresar|true
recepcionista|encuestas|justificar|true
recepcionista|encuestas|procesar|false
encuestador|campo|editar|false
encuestador|campo|ver|false
encuestador|casilleros_texto|editar|false
encuestador|configurar|editar|false
encuestador|configurar|ver|false
encuestador|consistencias|editar|false
encuestador|encuestas|ingresar|true
encuestador|encuestas|justificar|true
encuestador|encuestas|procesar|false
encuestador|encuestas|relevar|true
recuperador|campo|editar|false
recuperador|campo|ver|false
recuperador|casilleros_texto|editar|false
recuperador|configurar|editar|false
recuperador|configurar|ver|false
recuperador|consistencias|editar|false
recuperador|encuestas|ingresar|true
recuperador|encuestas|justificar|true
recuperador|encuestas|procesar|false
recuperador|encuestas|relevar|true
supervisor|campo|editar|false
supervisor|campo|ver|false
supervisor|casilleros_texto|editar|false
supervisor|configurar|editar|false
supervisor|configurar|ver|false
supervisor|consistencias|editar|false
supervisor|encuestas|ingresar|true
supervisor|encuestas|justificar|true
supervisor|encuestas|procesar|false
supervisor|encuestas|relevar|true
