rol           |superuser|nombre
admin         |true     |Administrador
auxiliar      |false    |Auxiliar de campo
coor_campo    |false    |Coordinador de Campo
direccion     |false    |Dirección
encuestador   |false    |Encuestador
dis_conceptual|false    |Diseño Conceptual
recepcionista |false    |Recepcionista
procesamiento |false    |Procesamiento
recuperador   |false    |Recuperador
supervisor    |false    |Supervisor
ingresador    |false    |Ingresador
subcoor_campo |false    |Subcoordinador de Campo
coor_proc     |false    |Coordinador de Procesamiento
